,Date,GLD,S&P500,NASDAQ,上证指数,深圳成指,创业板指数,恒生指数,美国债券
726,2012-01-03,155.92,1277.06,2648.72,2199.42,8918.82,729.5,18877.41,110.03
727,2012-01-04,156.71,1277.3,2648.36,2169.39,8695.99,707.11,18727.31,109.88
728,2012-01-05,157.78,1281.06,2669.86,2148.45,8600.26,666.91,18813.41,110.03
729,2012-01-06,157.2,1277.81,2674.22,2163.39,8634.42,669.02,18593.06,110.12
730,2012-01-09,156.5,1280.7,2676.56,2225.89,8946.09,692.42,18865.72,110.03
731,2012-01-10,158.64,1292.08,2702.5,2285.74,9281.25,716.45,19004.28,110
732,2012-01-11,159.67,1292.48,2710.76,2276.05,9239.21,717.94,19151.94,110.39
733,2012-01-12,160.38,1295.5,2724.7,2275.01,9200.93,709.89,19095.38,110.3
734,2012-01-13,159.26,1289.09,2710.67,2244.58,9030.59,666.08,19204.42,110.55
735,2012-01-17,160.5,1293.67,2728.08,2298.38,9264.09,662.69,19627.75,110.58
736,2012-01-18,161.6,1308.04,2769.71,2266.38,9115.27,624.91,19686.92,110.44
737,2012-01-19,161.22,1314.5,2788.33,2296.08,9300.22,632.8,19942.95,110.26
738,2012-01-20,162.07,1315.38,2786.7,2319.12,9466.14,646.38,20110.37,109.98
739,2012-01-23,163.16,1316.0,2784.17,2319.12,9466.14,646.38,20110.37,109.89
740,2012-01-24,162.01,1314.65,2786.64,2319.12,9466.14,646.38,20110.37,109.98
741,2012-01-25,166.42,1326.05,2818.31,2319.12,9466.14,646.38,20110.37,110.14
742,2012-01-26,167.27,1318.43,2805.28,2319.12,9466.14,646.38,20439.14,110.36
743,2012-01-27,168.97,1316.33,2816.55,2319.12,9466.14,646.38,20501.67,110.54
744,2012-01-30,168.03,1313.01,2811.94,2285.04,9274.85,651.25,20160.41,110.86
745,2012-01-31,169.31,1312.41,2813.84,2292.61,9303.65,648.68,20390.49,111.05
746,2012-02-01,169.56,1324.09,2848.27,2268.08,9193.39,650.78,20333.37,110.58
747,2012-02-02,171.05,1325.54,2859.68,2312.56,9382.13,665.4,20739.45,110.61
748,2012-02-03,167.64,1344.9,2905.66,2330.4,9436.99,680.05,20756.98,110.56
749,2012-02-06,167.18,1344.33,2901.99,2331.14,9448.64,686.51,20709.94,110.64
750,2012-02-07,169.7,1347.05,2904.08,2291.9,9266.71,673.68,20699.19,110.53
751,2012-02-08,168.5,1349.96,2915.86,2347.53,9557.58,692.3,21018.46,110.44
752,2012-02-09,168.02,1351.95,2927.23,2349.59,9560.73,697.79,21010.01,110.26
753,2012-02-10,167.14,1342.64,2903.88,2351.98,9590.96,698.85,20783.86,110.41
754,2012-02-13,167.51,1351.77,2931.39,2351.85,9585.08,714.96,20887.4,110.45
755,2012-02-14,167.12,1350.5,2931.83,2344.77,9543.78,712.3,20917.83,110.54
756,2012-02-15,168.11,1343.23,2915.83,2366.7,9673.44,724.75,21365.23,110.5
757,2012-02-16,168,1358.04,2959.85,2356.86,9622.83,721.83,21277.28,110.48
758,2012-02-17,167.35,1361.23,2951.78,2357.18,9615.34,717.8,21491.62,110.34
759,2012-02-21,171.02,1362.21,2948.57,2381.43,9695.87,736.88,21478.72,110.17
760,2012-02-22,172.94,1357.66,2933.17,2403.59,9862.54,759.56,21549.28,110.48
761,2012-02-23,173.02,1363.46,2956.98,2409.55,9918.94,756.9,21380.99,110.57
762,2012-02-24,172.23,1365.74,2963.75,2439.63,10124.15,762.29,21406.86,110.6
763,2012-02-27,171.7,1367.59,2966.16,2447.06,10177.33,760.37,21217.86,110.95
764,2012-02-28,173.49,1372.18,2986.76,2451.86,10161.86,747.77,21568.73,110.87
765,2012-02-29,164.29,1365.68,2966.89,2428.49,10054.85,735.34,21680.08,110.76
766,2012-03-01,166.61,1374.09,2988.97,2426.11,10060.96,743.15,21387.96,110.26
767,2012-03-02,166.34,1369.63,2976.19,2460.69,10299.94,757.67,21562.26,110.5
768,2012-03-05,165.65,1364.34,2950.48,2445.0,10226.44,759.37,21265.31,110.34
769,2012-03-06,162.7,1343.36,2910.32,2410.45,10093.81,750.84,20806.25,110.56
770,2012-03-07,163.63,1352.63,2935.69,2394.79,10054.87,749.27,20627.78,110.46
771,2012-03-08,165.28,1365.91,2970.42,2420.28,10171.13,761.7,20900.73,110.21
772,2012-03-09,166.38,1370.87,2988.34,2439.46,10334.38,777.69,21086.0,110.19
773,2012-03-12,165.07,1371.09,2983.66,2434.86,10300.5,786.05,21134.18,110.29
774,2012-03-13,162.3,1395.95,3039.88,2455.79,10427.24,792.38,21339.7,109.92
775,2012-03-14,159.57,1394.28,3040.73,2391.23,10094.89,756.46,21307.89,109.32
776,2012-03-15,161.08,1402.6,3056.37,2373.77,10086.56,746.44,21353.53,109.27
777,2012-03-16,161.3,1404.17,3055.26,2404.74,10279.3,765.56,21353.53,109.28
778,2012-03-19,161.59,1409.75,3078.32,2410.18,10296.17,779.56,21115.29,108.93
779,2012-03-20,160.13,1405.52,3074.15,2376.84,10116.39,755.58,20888.24,109.09
780,2012-03-21,160.21,1402.89,3075.32,2378.2,10090.44,751.79,20856.63,109.35
781,2012-03-22,159.57,1392.78,3063.32,2375.77,10038.95,750.85,20901.56,109.45
782,2012-03-23,161.53,1397.11,3067.92,2349.54,9885.25,737.89,20668.8,109.7
783,2012-03-26,164.4,1416.51,3122.57,2350.6,9946.14,737.21,20668.86,109.62
784,2012-03-27,163.24,1412.52,3120.35,2347.18,9841.38,735.73,21046.91,109.74
785,2012-03-28,161.51,1405.54,3104.96,2284.88,9531.15,698.49,20885.42,109.72
786,2012-03-29,161.28,1403.28,3095.36,2252.16,9418.23,683.96,20609.39,110.02
787,2012-03-30,162.12,1408.47,3091.57,2262.79,9410.26,678.52,20555.58,109.85
788,2012-04-02,162.94,1419.04,3119.7,2262.79,9410.26,678.52,20522.26,109.62
789,2012-04-03,159.89,1413.38,3113.57,2262.79,9410.26,678.52,20790.98,109.15
